eruptionID,year,waiting_min,dur
24296,1970,47.0,1.75
24297,1970,76.0,4.5
24298,1970,64.0,2.5
24299,1970,76.0,3.75
24310,1970,49.0,2.0
24311,1970,73.0,4.0
24312,1970,43.0,2.0
24313,1970,76.0,4.5
24314,1970,54.0,2.0
24315,1970,85.0,4.0
24316,1970,41.0,1.5
24317,1970,70.0,3.25
24318,1970,68.0,3.0
24319,1970,46.0,1.5
24320,1970,75.0,4.25
24321,1970,46.0,1.75
24328,1970,76.0,3.5
24329,1970,47.0,1.75
24330,1970,76.0,4.25
24331,1970,47.0,2.0
24332,1970,76.0,4.5
24333,1970,68.0,3.0
24334,1970,75.0,4.0
24335,1970,56.0,2.5
24336,1970,70.0,4.25
24337,1970,73.0,3.5
24338,1970,59.0,3.5
24344,1970,64.0,3.0
24347,1970,79.0,3.5
24348,1970,75.0,3.0
24349,1970,64.0,4.5
24350,1970,68.0,3.0
24351,1970,83.0,4.5
24352,1970,47.0,2.75
24353,1970,69.0,4.0
24354,1970,64.0,3.5
24362,1970,54.0,3.0
24363,1970,83.0,4.5
24364,1970,68.0,3.5
24366,1970,80.0,4.25
24367,1970,46.0,1.75
24368,1970,70.0,4.0
24369,1970,77.0,3.75
24370,1970,118.0,4.0
24371,1970,72.0,3.75
24372,1970,130.0,3.25
24379,1970,79.0,3.5
24380,1970,46.0,2.0
24381,1970,75.0,4.75
24383,1970,50.0,2.0
24384,1970,74.0,4.5
24385,1970,72.0,3.5
24386,1970,51.0,2.0
24387,1970,86.0,4.5
24388,1970,44.0,2.5
24389,1970,73.0,4.0
24390,1970,42.0,2.25
24404,1970,57.0,3.5
24405,1970,73.0,3.75
24406,1970,75.0,3.25
24407,1970,71.0,4.0
24408,1970,41.0,1.5
24409,1970,81.0,4.25
24410,1970,52.0,2.0
24411,1970,73.0,4.0
24412,1970,51.0,2.0
24413,1970,74.0,4.0
24414,1970,45.0,1.5
24421,1970,61.0,2.5
24422,1970,70.0,4.5
24423,1970,61.0,2.0
24424,1970,67.0,4.0
24425,1970,63.0,3.0
24426,1970,69.0,3.5
24427,1970,54.0,2.0
24428,1970,80.0,4.0
24429,1970,51.0,2.0
24430,1970,75.0,3.5
24431,1970,59.0,2.25
24444,1970,46.0,2.25
24445,1970,75.0,3.0
24446,1970,45.0,2.0
24447,1970,73.0,4.0
24448,1970,52.0,2.0
24449,1970,49.0,1.75
24450,1970,71.0,4.5
24451,1970,75.0,3.5
