eruptionID,year,waiting_min,dur
1093331,1993,57.0,2.05
1093332,1993,84.0,4.19
1093333,1993,59.0,1.5
1093334,1993,81.0,4.29
1093346,1993,87.0,3.48
1093347,1993,53.0,2.07
1093348,1993,85.0,4.24
1093349,1993,71.0,2.02
1093350,1993,91.0,4.56
1093351,1993,69.0,2.09
1093366,1993,94.0,4.22
1093367,1993,53.0,2.15
1093368,1993,89.0,3.55
1093369,1993,63.0,1.53
1093370,1993,87.0,4.38
1093371,1993,48.0,1.38
1093384,1993,88.0,4.29
1093385,1993,72.0,3.42
1093386,1993,79.0,4.0
1093387,1993,88.0,3.4
1093388,1993,94.0,4.26
1093389,1993,57.0,2.39
1093390,1993,103.0,4.34
1093391,1993,67.0,2.39
1093402,1993,53.0,1.49
1093403,1993,94.0,4.33
1093404,1993,78.0,4.06
1093405,1993,65.0,2.03
1093406,1993,79.0,4.34
1093407,1993,75.0,3.5
1093408,1993,75.0,3.57
1093410,1993,82.0,4.31
1093411,1993,60.0,1.58
1093412,1993,97.0,4.27
1093413,1993,75.0,3.36
1093414,1993,50.0,1.45
1093415,1993,90.0,4.12
1093418,1993,87.0,4.39
1093419,1993,58.0,2.04
1093420,1993,94.0,4.22
1093421,1993,81.0,3.53
1093422,1993,66.0,2.03
1093423,1993,90.0,4.3
1093427,1993,78.0,2.42
1093428,1993,87.0,4.09
1093429,1993,53.0,1.41
1093430,1993,90.0,4.23
1093431,1993,72.0,3.5
1093432,1993,87.0,3.59
1093435,1993,57.0,1.5
1093436,1993,83.0,4.37
1093437,1993,61.0,1.4
1093438,1993,90.0,4.46
1093439,1993,64.0,1.53
1093442,1993,67.0,1.51
1093443,1993,99.0,4.25
1093444,1993,82.0,4.18
1093445,1993,63.0,2.02
1093446,1993,86.0,4.31
1093447,1993,51.0,1.44
1093448,1993,91.0,4.38
1093450,1993,54.0,2.0
1093451,1993,87.0,4.35
1093452,1993,48.0,2.01
1093453,1993,94.0,4.49
1093454,1993,54.0,1.48
1093455,1993,85.0,4.4
1093456,1993,63.0,1.54
1093457,1993,83.0,4.22
1093458,1993,67.0,1.53
1093461,1993,55.0,1.47
1093462,1993,88.0,4.28
1093463,1993,58.0,2.08
1093464,1993,96.0,4.29
1093465,1993,73.0,1.49
1093466,1993,74.0,4.32
1093467,1993,67.0,1.53
1093471,1993,52.0,1.52
1093472,1993,94.0,4.21
1093473,1993,56.0,1.52
1093474,1993,97.0,4.5
1093475,1993,46.0,1.58
1093476,1993,96.0,4.43
1093477,1993,51.0,1.46
1093478,1993,90.0,4.35
1093480,1993,91.0,3.01
1093481,1993,71.0,4.1
1093483,1993,58.0,1.52
1093484,1993,89.0,4.28
1093485,1993,60.0,1.53
1093488,1993,76.0,3.23
1093489,1993,85.0,4.16
1093490,1993,99.0,4.1
1093491,1993,80.0,4.13
1093497,1993,105.0,4.34
1093498,1993,56.0,1.51
1093499,1993,84.0,4.09
1093500,1993,66.0,1.47
1093501,1993,90.0,4.44
1093504,1993,59.0,2.21
1093505,1993,82.0,4.29
1093506,1993,84.0,3.28
1093507,1993,77.0,4.26
1093508,1993,65.0,1.38
1093509,1993,89.0,4.19
1093512,1993,89.0,4.32
1093513,1993,56.0,1.23
1093514,1993,84.0,4.08
1093515,1993,53.0,1.51
1093516,1993,96.0,4.35
1093518,1993,60.0,1.59
1093519,1993,88.0,4.33
1093520,1993,51.0,1.43
1093521,1993,99.0,4.34
1093522,1993,57.0,2.09
1093525,1993,80.0,4.27
1093526,1993,55.0,1.39
1093527,1993,90.0,4.41
1093528,1993,65.0,1.12
1093530,1993,92.0,4.23
1093531,1993,77.0,3.47
1093532,1993,86.0,4.13
1093533,1993,85.0,4.22
1093534,1993,81.0,4.28
1094255,1993,63.0,1.57
1094256,1993,86.0,4.27
1094257,1993,56.0,2.09
1094258,1993,86.0,4.26
1094259,1993,79.0,3.43
1094260,1993,85.0,3.5
1094262,1993,82.0,4.15
1094263,1993,89.0,3.58
1094264,1993,82.0,4.15
1094265,1993,90.0,4.02
1094266,1993,92.0,4.16
1094268,1993,78.0,4.0
1094269,1993,71.0,2.25
1094270,1993,84.0,4.36
1094271,1993,77.0,3.55
1094272,1993,81.0,3.39
1094273,1993,78.0,4.08
1094275,1993,54.0,1.54
1094276,1993,92.0,4.28
1094277,1993,56.0,1.5
1094278,1993,83.0,4.28
1094279,1993,157.0,3.5
1094281,1993,54.0,2.03
1094282,1993,90.0,4.2
1094283,1993,60.0,1.56
1094284,1993,95.0,4.24
1094285,1993,56.0,2.03
1094286,1993,90.0,4.3
1094288,1993,53.0,2.1
1094289,1993,82.0,4.37
1094290,1993,75.0,1.58
1094291,1993,82.0,4.48
1094292,1993,60.0,2.34
1094293,1993,102.0,4.21
1094295,1993,73.0,3.53
1094296,1993,88.0,4.14
1094297,1993,80.0,4.08
1094298,1993,62.0,1.55
1094299,1993,100.0,4.44
1094300,1993,78.0,4.1
1094302,1993,86.0,4.33
1094303,1993,80.0,3.49
1094304,1993,87.0,4.07
1094305,1993,82.0,3.58
1094306,1993,76.0,3.54
1094307,1993,77.0,4.09
1094309,1993,56.0,1.54
1094310,1993,90.0,4.38
1094311,1993,58.0,1.43
1094312,1993,90.0,4.31
1094313,1993,54.0,2.03
1094314,1993,94.0,4.4
1094316,1993,73.0,3.3
1094317,1993,78.0,3.37
1094318,1993,77.0,4.15
1094319,1993,77.0,3.53
1094320,1993,74.0,3.4
1094321,1993,77.0,3.58
1094322,1993,35.0,3.34
1094323,1993,192.0,4.01
1094326,1993,70.0,3.54
1094327,1993,90.0,4.08
1094328,1993,57.0,1.45
1094329,1993,82.0,4.25
1094330,1993,76.0,3.25
1094331,1993,75.0,4.1
1094333,1993,82.0,4.38
1094334,1993,78.0,3.49
1094335,1993,93.0,3.24
1094336,1993,93.0,4.18
1094337,1993,51.0,1.43
1094338,1993,88.0,4.32
1094342,1993,74.0,3.53
1094343,1993,85.0,3.53
1094344,1993,77.0,3.34
1094345,1993,74.0,4.05
1094347,1993,91.0,4.1
1094348,1993,86.0,3.49
1094349,1993,76.0,3.58
1094350,1993,91.0,4.03
1094351,1993,78.0,3.54
1094352,1993,85.0,4.14
1094355,1993,92.0,4.31
1094356,1993,64.0,1.45
1094357,1993,92.0,4.24
1094358,1993,47.0,1.54
1094359,1993,95.0,4.43
1094360,1993,56.0,2.04
1096286,1993,96.0,4.21
1096287,1993,51.0,1.52
1096288,1993,90.0,4.32
1096289,1993,49.0,1.44
1096290,1993,89.0,4.35
1096291,1993,53.0,1.44
1096294,1993,87.0,4.34
1096295,1993,53.0,1.58
1096296,1993,100.0,4.24
1096297,1993,54.0,2.02
1096298,1993,93.0,4.34
1096299,1993,63.0,1.43
1096301,1993,75.0,4.06
1096302,1993,76.0,2.51
1096303,1993,84.0,4.21
1096304,1993,78.0,3.47
1096305,1993,90.0,4.01
1096306,1993,48.0,1.53
1096307,1993,93.0,4.45
1096309,1993,51.0,1.44
