eruptionID,waiting_min,dur,labels
1096331,49.0,1.5,1
1096333,88.0,4.0,0
1096334,52.0,1.52,1
1096335,94.0,4.45,0
1096336,59.0,1.44,1
1096337,90.0,4.48,0
1096338,62.0,2.0,1
1096339,96.0,4.37,0
1096341,66.0,2.05,1
1096342,93.0,4.24,0
1096343,61.0,2.01,1
1096344,93.0,4.28,0
1096345,70.0,1.38,1
1096347,83.0,4.35,0
1096348,66.0,2.17,1
1096349,97.0,4.26,0
1096350,57.0,1.52,1
1096351,97.0,4.21,0
1096352,53.0,1.49,1
1096355,60.0,1.55,1
1096356,81.0,4.29,0
1096357,92.0,3.43,0
1096358,82.0,4.15,0
1096359,60.0,1.43,1
1096362,49.0,1.43,1
1096363,87.0,4.34,0
1096364,69.0,2.39,1
1096365,77.0,4.22,0
1096366,86.0,4.12,0
1096367,54.0,2.11,1
1096369,96.0,4.46,0
1096370,44.0,2.0,1
1096371,93.0,4.3,0
1096372,63.0,1.56,1
1096373,84.0,4.35,0
1096376,93.0,4.29,0
1096377,59.0,1.49,1
1096378,98.0,4.25,0
1096379,70.0,3.45,0
1096380,60.0,2.04,1
1096381,94.0,4.43,0
1096384,84.0,4.43,0
1096385,58.0,1.47,1
1096386,83.0,4.28,0
1096387,80.0,3.51,0
1096388,95.0,4.11,0
1096389,92.0,4.07,0
1096392,82.0,3.53,0
1096393,78.0,4.08,0
1096394,73.0,3.52,0
1096395,87.0,3.48,0
1096396,82.0,4.26,0
1096397,54.0,1.49,1
1096401,78.0,4.28,0
1096402,84.0,4.03,0
1096403,61.0,2.19,1
1096404,82.0,4.26,0
1096405,85.0,3.42,0
1096406,86.0,4.01,0
1096408,78.0,4.05,0
1096409,91.0,3.48,0
1096410,88.0,4.16,0
1096411,75.0,4.17,0
1096412,55.0,1.5,1
1096413,88.0,4.27,0
1096415,91.0,4.45,0
1096416,55.0,1.4,1
1096417,81.0,4.26,0
1096418,66.0,2.21,1
1096419,89.0,4.51,0
1096420,63.0,2.01,1
1096423,78.0,4.02,0
1096424,79.0,4.31,0
1096425,77.0,3.34,0
1096426,80.0,4.25,0
1096427,63.0,1.22,1
1096428,89.0,4.44,0
1096431,91.0,4.24,0
1096432,66.0,1.54,1
1096433,89.0,4.38,0
1096434,61.0,2.0,1
1096435,94.0,4.38,0
1096438,54.0,1.57,1
1096439,91.0,4.36,0
1096440,72.0,3.37,0
1096441,88.0,4.01,0
1096442,57.0,2.06,1
1096445,69.0,2.3,1
1096446,83.0,4.18,0
1096447,54.0,1.5,1
1096448,95.0,4.48,0
1096449,54.0,1.54,1
1096450,84.0,4.3,0
1096451,79.0,3.2,0
1096453,68.0,3.2,0
1096455,77.0,4.1,0
1096456,56.0,2.14,1
1096457,89.0,4.13,0
1096458,80.0,4.03,0
1096459,93.0,4.07,0
1096460,89.0,4.16,0
1096465,55.0,1.45,1
1096466,85.0,4.53,0
1096467,68.0,2.07,1
1096468,91.0,4.38,0
1096469,77.0,3.34,0
1096470,53.0,1.49,1
1096472,99.0,4.28,0
1096473,84.0,4.22,0
1096474,91.0,4.11,0
1096475,87.0,4.16,0
1096476,58.0,2.01,1
1096477,93.0,4.35,0
1096478,57.0,2.34,1
1096481,94.0,4.43,0
1096482,83.0,4.08,0
1096483,59.0,1.53,1
1096484,96.0,4.37,0
1096485,91.0,4.07,0
1096486,86.0,4.13,0
1096492,47.0,1.44,1
1096493,101.0,4.17,0
1096494,85.0,4.3,0
1096495,62.0,2.03,1
1096496,91.0,4.55,0
1096497,64.0,1.51,1
1096498,96.0,4.28,0
1096499,50.0,1.43,1
1096501,87.0,4.14,0
1096502,85.0,5.04,0
1096504,52.0,1.57,1
1096505,96.0,4.24,0
1096506,45.0,1.51,1
1096507,88.0,4.34,0
1096511,82.0,4.23,0
1096512,64.0,1.56,1
1096513,93.0,4.28,0
1096514,60.0,2.02,1
1096515,97.0,4.4,0
1096516,82.0,3.5,0
1096521,49.0,1.39,1
1096522,88.0,4.03,0
1096523,51.0,1.59,1
