eruptionID,waiting_min,dur,labels
24624,52.0,2.5,0
24625,80.0,4.75,1
24626,45.0,1.75,0
24627,82.0,4.5,1
24628,43.0,2.0,0
24629,77.0,4.0,1
24630,43.0,2.0,0
24631,80.0,4.0,1
24637,39.0,1.5,0
24638,71.0,3.5,1
24639,57.0,3.0,1
24640,68.0,4.0,1
24641,54.0,2.0,0
24642,75.0,4.0,1
24643,43.0,1.5,0
24644,84.0,3.0,1
24645,51.0,2.0,0
24646,44.0,1.75,0
24647,75.0,4.5,1
24648,59.0,2.0,0
24655,48.0,2.75,0
24656,77.0,3.0,1
24657,51.0,2.0,0
24658,78.0,4.5,1
24659,50.0,1.5,0
24660,70.0,4.0,1
24661,54.0,1.75,0
24662,79.0,4.5,1
24663,43.0,1.5,0
24664,72.0,4.0,1
24665,60.0,2.75,1
24666,48.0,2.0,0
24673,48.0,2.0,0
24674,71.0,4.5,1
24675,48.0,2.0,0
24676,70.0,3.5,1
24677,52.0,1.75,0
24678,71.0,4.0,1
24679,63.0,2.5,0
24680,79.0,3.75,1
24681,41.0,2.0,0
24682,77.0,4.0,1
24683,57.0,2.75,0
24695,44.0,2.25,0
24696,89.0,4.25,1
24697,40.0,2.0,0
24698,80.0,4.5,1
24699,46.0,2.0,0
24700,78.0,3.75,1
24701,44.0,1.75,0
24702,74.0,4.0,1
24703,45.0,2.0,0
24704,78.0,4.0,1
24705,45.0,1.5,0
24713,74.0,4.75,1
24714,49.0,2.5,0
24715,83.0,4.0,1
24716,44.0,1.5,0
24717,74.0,4.5,1
24718,60.0,1.5,0
24719,68.0,4.0,1
24720,49.0,1.5,0
24721,77.0,4.0,1
24722,46.0,1.75,0
24723,74.0,4.5,1
24733,45.0,2.0,0
24734,85.0,4.25,1
24735,41.0,2.0,0
24736,79.0,3.5,1
24737,42.0,1.75,0
24739,51.0,2.0,0
24740,64.0,4.0,1
24741,58.0,2.0,0
24742,90.0,4.25,1
24743,34.0,2.25,0
24744,77.0,4.5,1
24754,73.0,3.0,1
24755,54.0,2.0,0
24756,66.0,3.5,1
24757,59.0,2.0,0
24758,72.0,4.0,1
24759,43.0,1.75,0
24760,76.0,4.0,1
24761,56.0,2.75,0
24762,82.0,4.0,1
24763,44.0,1.5,0
24764,76.0,4.0,1
24765,55.0,1.5,0
24773,40.0,1.5,0
24774,78.0,4.0,1
24775,57.0,1.5,0
24776,72.0,4.0,1
24777,46.0,2.0,0
24778,85.0,4.0,1
24779,47.0,1.5,0
24780,45.0,1.5,0
24781,72.0,4.0,1
24782,48.0,2.25,0
24783,73.0,4.0,1
24784,44.0,2.0,0
24792,49.0,2.5,0
24793,74.0,4.0,1
24794,48.0,2.0,0
24795,86.0,3.25,1
24796,40.0,1.5,0
24797,81.0,3.75,1
24798,43.0,2.0,0
24799,76.0,4.25,1
24800,49.0,2.25,0
24801,73.0,4.5,1
24802,65.0,4.0,1
24803,67.0,3.75,1
24815,44.0,1.75,0
24816,75.0,4.5,1
24817,54.0,2.5,0
24818,69.0,4.25,1
24819,71.0,4.0,1
24820,46.0,1.75,0
24821,81.0,4.75,1
24822,39.0,1.75,0
24823,79.0,4.5,1
24824,56.0,2.0,0
24825,75.0,4.5,1
24826,46.0,1.5,0
24836,53.0,1.75,0
24837,73.0,4.5,1
24838,55.0,1.75,0
24839,80.0,4.5,1
24840,46.0,1.5,0
24841,73.0,4.5,1
24842,47.0,2.25,0
24843,83.0,4.25,1
24844,51.0,1.75,0
24845,76.0,4.5,1
24846,47.0,2.0,0
24853,66.0,2.0,0
24854,71.0,3.75,1
24855,70.0,3.5,1
24856,56.0,2.0,0
24857,79.0,4.0,1
24858,43.0,2.0,0
24859,45.0,2.5,0
24860,74.0,4.5,1
24861,56.0,2.0,0
24862,79.0,4.5,1
24863,39.0,2.0,0
24864,80.0,4.0,1
24872,80.0,4.0,1
24873,46.0,2.25,0
24874,76.0,4.5,1
24875,45.0,2.0,0
24876,73.0,4.5,1
24877,56.0,2.0,0
24878,70.0,4.5,1
24879,63.0,3.5,1
24880,73.0,4.25,1
24881,45.0,2.0,0
24882,68.0,4.0,1
24883,72.0,3.75,1
24892,54.0,1.75,0
24893,76.0,4.25,1
24894,42.0,2.0,0
24895,79.0,4.25,1
24896,46.0,2.0,0
24897,84.0,4.25,1
24898,46.0,2.0,0
24899,75.0,4.25,1
24900,43.0,2.0,0
24901,79.0,3.25,1
24902,43.0,1.5,0
24903,77.0,3.75,1
24910,39.0,1.5,0
24911,74.0,4.25,1
24912,49.0,2.0,0
24913,72.0,3.0,1
24914,55.0,2.5,0
24915,72.0,4.25,1
24916,67.0,2.25,0
24917,69.0,3.75,1
24918,45.0,1.5,0
24919,71.0,4.0,1
24920,48.0,2.0,0
24921,78.0,4.0,1
24930,65.0,3.25,1
24931,69.0,3.0,1
24932,41.0,1.75,0
24933,79.0,4.5,1
24934,46.0,1.75,0
24935,72.0,4.5,1
24936,62.0,3.25,1
24937,59.0,1.75,0
24938,75.0,4.25,1
24939,55.0,1.75,0
24940,71.0,4.75,1
24941,53.0,2.0,0
24952,73.0,4.5,1
24953,54.0,1.75,0
24954,76.0,4.25,1
24955,49.0,2.0,0
24956,75.0,4.25,1
24957,50.0,2.0,0
24958,71.0,4.25,1
24959,64.0,3.5,1
24960,75.0,4.5,1
24961,47.0,2.0,0
24962,75.0,4.0,1
24963,48.0,2.25,0
24971,49.0,2.0,0
24972,80.0,4.5,1
24973,43.0,2.5,0
24974,75.0,4.0,1
24975,45.0,1.75,0
24976,75.0,4.25,1
24977,42.0,1.5,0
24978,74.0,4.5,1
24979,46.0,1.75,0
24980,79.0,4.0,1
24981,46.0,2.0,0
24982,71.0,4.0,1
24991,70.0,3.0,1
24992,51.0,3.0,1
24993,74.0,4.25,1
24994,44.0,1.75,0
24995,89.0,4.25,1
24996,42.0,2.0,0
24997,70.0,4.25,1
24998,51.0,2.0,0
24999,86.0,4.0,1
25000,42.0,2.0,0
25001,73.0,4.0,1
25002,58.0,3.25,1
25010,44.0,2.0,0
25011,83.0,3.75,1
25012,42.0,1.75,0
25013,85.0,4.0,1
25014,45.0,1.75,0
25016,109.0,1.75,1
25017,44.0,1.5,0
25018,82.0,4.0,1
25019,43.0,1.88,0
25020,72.0,4.25,1
25021,65.0,3.5,1
25022,45.0,1.75,0
25028,54.0,2.0,0
25029,72.0,3.75,1
25030,63.0,3.0,1
25031,76.0,4.0,1
25032,65.0,4.5,1
25033,51.0,2.0,0
25034,72.0,4.0,1
25035,58.0,2.25,0
25036,74.0,4.5,1
25037,50.0,2.0,0
25038,72.0,4.0,1
25050,73.0,2.75,1
25051,45.0,2.0,0
25052,69.0,3.5,1
25053,65.0,3.25,1
25054,64.0,3.75,1
25055,71.0,4.0,1
25056,54.0,2.0,0
25057,79.0,4.5,1
25058,54.0,1.5,0
25059,73.0,4.25,1
25070,40.0,1.75,0
25071,83.0,4.5,1
25072,49.0,2.0,0
25073,77.0,4.5,1
25074,41.0,1.75,0
25075,76.0,4.0,1
25076,42.0,1.75,0
25077,74.0,4.5,1
25078,68.0,3.5,1
25079,63.0,3.0,1
25080,70.0,4.25,1
25081,64.0,4.0,1
25092,73.0,4.0,1
25093,43.0,2.5,0
25094,85.0,4.25,1
25095,46.0,1.5,0
25096,80.0,4.5,1
25097,42.0,1.5,0
25098,71.0,4.0,1
25099,59.0,3.0,1
25101,46.0,2.0,0
25102,83.0,4.5,1
25110,42.0,1.75,0
25111,66.0,4.25,1
25112,70.0,4.75,1
25113,55.0,2.0,0
25114,72.0,4.25,1
25115,44.0,2.0,0
25116,72.0,3.75,1
25117,46.0,1.75,0
25118,77.0,4.5,1
25119,48.0,2.0,0
25120,84.0,4.5,1
25121,47.0,2.0,0
25129,48.0,1.75,0
25130,72.0,4.0,1
25131,46.0,1.75,0
25132,71.0,4.0,1
25133,45.0,2.5,0
25134,78.0,3.25,1
25135,47.0,1.75,0
25136,75.0,4.0,1
25137,50.0,1.75,0
25138,77.0,4.5,1
25139,49.0,1.75,0
25140,71.0,4.0,1
25150,79.0,4.75,1
25151,45.0,2.0,0
25152,79.0,3.5,1
25153,47.0,1.5,0
25154,86.0,4.5,1
25155,43.0,2.0,0
25156,75.0,4.25,1
