Date,Geyser,time,duration,,,,,,,,,,
1/31/1979,Old Faithful,16:30,4:15,,,,,,,,,,
1/31/1979,Old Faithful,17:53,4:52,,,,,,,,,,
1/31/1979,Old Faithful,19:23,4:34,,,,,,,,,,
1/31/1979,Old Faithful,20:41,4:52,,,,,,,,,,
2/1/1979,Old Faithful,8:29,~3:40,,,,,,,,,,
2/1/1979,Old Faithful,9:57,3:58,,,,,,,,,,
2/1/1979,Old Faithful,11:14,4:04,,,,,,,,,,
2/1/1979,Old Faithful,12:31,4:07,,,,,,,,,,
2/1/1979,Old Faithful,13:45,4:20,,,,,,,,,,
2/1/1979,Old Faithful,15:05,4:21,,,,,,,,,,
2/1/1979,Old Faithful,16:19,3:59,,,,,,,,,,
2/1/1979,Old Faithful,17:47,~4:08,,,,,,,,,,
2/1/1979,Old Faithful,19:05,4:35,,,,,,,,,,
2/1/1979,Old Faithful,20:25,4:44,,,,,,,,,,
2/2/1979,Old Faithful,8:41,4:11,,,,,,,,,,
2/2/1979,Old Faithful,10:05,4:31,,,,,,,,,,
2/2/1979,Old Faithful,11:19,4:21,,,,,,,,,,
2/2/1979,Old Faithful,12:47,4:33,,,,,,,,,,
2/2/1979,Old Faithful,14:09,2:00,,,,,,,,,,
2/2/1979,Old Faithful,15:06,4:53,,,,,,,,,,
2/2/1979,Old Faithful,16:34,1:53,,,,,,,,,,
2/2/1979,Old Faithful,17:18,5:13,,,,,,,,,,
2/2/1979,Old Faithful,18:49,2:02,,,,,,,,,,
2/3/1979,Old Faithful,7:32,,,,,,,,,,,
2/3/1979,Old Faithful,8:45,~3:50,,,,,,,,,,
2/3/1979,Old Faithful,9:54,~3:57,,,,,,,,,,
2/3/1979,Old Faithful,11:10,3:55,,,,,,,,,,
2/3/1979,Old Faithful,12:19,~Long,,,,,,,,,,
2/3/1979,Old Faithful,13:36,3:52,,,,,,,,,,
2/3/1979,Old Faithful,14:44,4:12,,,,,,,,,,
2/3/1979,Old Faithful,15:57,3:54,,,,,,,,,,
2/3/1979,Old Faithful,17:18,~2 1/2,,,,,,,,,,
2/4/1979,Old Faithful,9:26,~2:18,,,,,,,,,,
2/4/1979,Old Faithful,10:31,4:49,,,,,,,,,,
2/4/1979,Old Faithful,11:52,~3:56,,,,,,,,,,
2/4/1979,Old Faithful,13:11,,,,,,,,,,,
2/4/1979,Old Faithful,14:00,4:44,,,,,,,,,,
2/4/1979,Old Faithful,15:18,4:05,,,,,,,,,,
2/4/1979,Old Faithful,16:34,4:15,,,,,,,,,,
2/4/1979,Old Faithful,17:44,4:23,,,,,,,,,,
2/4/1979,Old Faithful,19:10,2:05,,,,,,,,,,
2/4/1979,Old Faithful,20:05,4:51,,,,,,,,,,
2/5/1979,Old Faithful,8:29,~Long,,,,,,,,,,
2/5/1979,Old Faithful,9:58,4:26,,,,,,,,,,
2/5/1979,Old Faithful,11:10,~3:35,,,,,,,,,,
2/5/1979,Old Faithful,12:25,4:06,,,,,,,,,,
2/5/1979,Old Faithful,13:41,4:17,,,,,,,,,,
